user_id,session_id,typing_speed_deviation,pasted_char_ratio,first_action_deviation,amount_deviation,label
app_0421,app_s000000,-1.2473,0.0384,0.0,0.8654,0
app_0323,app_s000001,2.3258,0.2573,0.0,-0.0768,0
app_0323,app_s000002,1.4672,0.1061,0.0,-0.1496,0
app_0350,app_s000003,-0.8538,0.0615,0.0,-0.4486,0
app_0239,app_s000004,1.125,0.1216,0.0,2.6629,0
app_0044,app_s000005,1.7059,0.042,1.0,0.0914,0
app_0376,app_s000006,-1.373,0.0042,0.0,-0.3903,0
app_0373,app_s000007,-1.104,0.5063,0.0,-0.3906,0
app_0152,app_s000008,-0.2117,0.0409,0.0,-0.2341,0
app_0164,app_s000009,0.8956,0.023,0.0,0.6622,0
app_0282,app_s000010,-1.268,0.1378,1.0,0.3646,0
app_0342,app_s000011,-10.7835,0.8449,1.0,1.9784,1
app_0088,app_s000012,-0.9303,0.4241,0.0,0.7414,0
app_0283,app_s000013,0.5512,0.0148,0.0,-0.353,0
app_0026,app_s000014,0.7715,0.4563,0.0,-0.437,0
app_0189,app_s000015,-1.1635,0.0497,0.0,-0.3257,0
app_0273,app_s000016,-1.4536,0.0004,0.0,-0.1546,0
app_0093,app_s000017,0.5502,0.0841,0.0,0.228,0
app_0077,app_s000018,-1.41,0.058,0.0,-0.165,0
app_0109,app_s000019,-1.0676,0.8392,0.0,0.7323,0
app_0107,app_s000020,-0.2177,0.5493,0.0,-0.3969,0
app_0231,app_s000021,0.324,0.0052,0.0,0.4772,0
app_0176,app_s000022,1.5905,0.1921,0.0,-0.2296,0
app_0271,app_s000023,-1.7652,0.0571,0.0,-0.0804,0
app_0072,app_s000024,0.6484,0.042,0.0,-0.317,0
app_0374,app_s000025,1.2729,0.7131,0.0,-0.4634,0
app_0003,app_s000026,2.387,0.0184,0.0,-0.3989,0
app_0268,app_s000027,-0.6987,0.0516,0.0,-0.3272,0
app_0093,app_s000028,0.3645,0.6289,0.0,0.5451,0
app_0213,app_s000029,-0.5383,0.0758,0.0,-0.4574,0
app_0236,app_s000030,0.1784,0.0162,0.0,-0.4628,0
app_0183,app_s000031,-0.4934,0.1106,0.0,-0.3672,0
app_0027,app_s000032,-0.581,0.0663,0.0,-0.2359,0
app_0305,app_s000033,0.6063,0.0165,0.0,2.0342,0
app_0039,app_s000034,-0.5293,0.5105,0.0,-0.4523,0
app_0186,app_s000035,-0.1896,0.3267,0.0,-0.4463,0
app_0428,app_s000036,-0.577,0.5496,0.0,-0.3944,0
app_0443,app_s000037,0.6288,0.0651,0.0,-0.4388,0
app_0277,app_s000038,-1.0572,0.0231,0.0,-0.4204,0
app_0374,app_s000039,-0.311,0.0686,0.0,0.4103,0
app_0324,app_s000040,0.2107,0.0162,0.0,-0.4762,0
app_0231,app_s000041,1.1092,0.0092,0.0,-0.2756,0
app_0290,app_s000042,-1.8522,0.0239,0.0,-0.3656,0
app_0180,app_s000043,-0.3044,0.2061,0.0,-0.2736,0
app_0070,app_s000044,-1.9528,0.052,0.0,-0.3685,0
app_0337,app_s000045,0.484,0.0726,0.0,0.0006,0
app_0300,app_s000046,0.8605,0.2656,0.0,-0.4351,0
app_0286,app_s000047,0.088,0.0127,0.0,-0.3859,0
app_0237,app_s000048,-1.4974,0.0244,0.0,-0.3562,0
app_0439,app_s000049,0.2313,0.0114,0.0,-0.3148,0
app_0010,app_s000050,-1.397,0.0507,0.0,-0.1776,0
app_0056,app_s000051,0.6785,0.0145,0.0,-0.3895,0
app_0088,app_s000052,-1.8284,0.0443,0.0,0.0535,0
app_0047,app_s000053,0.1014,0.0635,0.0,-0.457,0
app_0099,app_s000054,-0.7832,0.0924,0.0,-0.4566,0
app_0073,app_s000055,-1.0757,0.6624,1.0,-0.4379,0
app_0229,app_s000056,-0.4698,0.3014,0.0,0.4958,0
app_0422,app_s000057,1.0253,0.2369,0.0,-0.4676,0
app_0235,app_s000058,-1.1924,0.2467,0.0,-0.3593,0
app_0266,app_s000059,-1.3501,0.6049,0.0,-0.4443,0
app_0055,app_s000060,-2.1804,0.0067,0.0,-0.4164,0
app_0186,app_s000061,-1.7764,0.4059,0.0,-0.3388,0
app_0085,app_s000062,-0.6405,0.0085,0.0,-0.1973,0
app_0204,app_s000063,-0.2358,0.0124,0.0,0.0857,0
app_0341,app_s000064,-11.2162,0.6608,1.0,2.9581,1
app_0284,app_s000065,-0.8063,0.017,0.0,0.2489,0
app_0111,app_s000066,0.3038,0.0258,1.0,-0.3955,0
app_0431,app_s000067,-1.4048,0.3296,0.0,-0.4438,0
app_0068,app_s000068,-0.0102,0.6296,0.0,-0.0939,0
app_0328,app_s000069,0.1299,0.1147,1.0,-0.478,0
app_0388,app_s000070,1.3082,0.0662,0.0,0.0619,0
app_0321,app_s000071,-0.9937,0.0052,0.0,-0.4061,0
app_0293,app_s000072,0.4979,0.5205,0.0,7.9044,0
app_0305,app_s000073,0.5831,0.3483,0.0,1.4608,0
app_0237,app_s000074,-0.309,0.1072,0.0,-0.3207,0
app_0116,app_s000075,-1.9777,0.0025,0.0,-0.2826,0
app_0188,app_s000076,-0.9151,0.0011,0.0,0.305,0
app_0158,app_s000077,-0.468,0.1478,0.0,-0.2342,0
app_0076,app_s000078,0.7847,0.1277,0.0,-0.4009,0
app_0060,app_s000079,-0.5121,0.2285,0.0,-0.135,0
app_0383,app_s000080,0.1986,0.0362,0.0,-0.2058,0
app_0412,app_s000081,0.0442,0.018,0.0,3.1442,0
app_0273,app_s000082,1.0685,0.0409,0.0,-0.4096,0
app_0074,app_s000083,0.8463,0.7103,1.0,-0.1333,0
app_0172,app_s000084,-0.9427,0.452,0.0,-0.4142,0
app_0179,app_s000085,0.601,0.0707,0.0,-0.3771,0
app_0320,app_s000086,0.5792,0.4217,0.0,-0.462,0
app_0294,app_s000087,-0.8508,0.1318,0.0,-0.2589,0
app_0214,app_s000088,0.603,0.0272,0.0,-0.4271,0
app_0399,app_s000089,-0.1218,0.011,0.0,-0.4215,0
app_0210,app_s000090,0.173,0.0268,0.0,-0.411,0
app_0311,app_s000091,0.0908,0.1785,0.0,-0.1131,0
app_0158,app_s000092,0.7904,0.7835,0.0,-0.2703,0
app_0013,app_s000093,-1.4856,0.0256,0.0,-0.434,0
app_0020,app_s000094,0.5793,0.7131,0.0,1.1408,0
app_0139,app_s000095,-0.0902,0.0312,0.0,-0.4502,0
app_0096,app_s000096,-0.6205,0.2432,0.0,-0.2953,0
app_0094,app_s000097,1.0338,0.0155,0.0,-0.0546,0
app_0278,app_s000098,0.1382,0.0185,0.0,-0.3245,0
app_0371,app_s000099,0.4164,0.0717,0.0,-0.4813,0
app_0149,app_s000100,-0.5465,0.0182,1.0,-0.1826,0
app_0331,app_s000101,0.6975,0.0261,0.0,0.436,0
app_0232,app_s000102,1.1649,0.2027,0.0,-0.3425,0
app_0399,app_s000103,-2.7627,0.0063,0.0,-0.2698,0
app_0400,app_s000104,0.8264,0.0132,0.0,-0.1457,0
app_0343,app_s000105,2.2344,0.0217,1.0,-0.2702,0
app_0389,app_s000106,-2.2195,0.0039,0.0,-0.4567,0
app_0196,app_s000107,-7.4118,0.0114,0.0,7.8554,1
app_0154,app_s000108,-0.1886,0.0522,0.0,0.0708,0
app_0275,app_s000109,-0.0372,0.2847,0.0,0.52,0
app_0240,app_s000110,-0.3523,0.0286,0.0,-0.3568,0
app_0061,app_s000111,-1.1007,0.0456,0.0,-0.4763,0
app_0047,app_s000112,0.0426,0.7218,0.0,0.0259,0
app_0085,app_s000113,0.6686,0.1088,0.0,-0.4604,0
app_0310,app_s000114,-1.1598,0.0202,0.0,-0.3661,0
app_0279,app_s000115,-0.8659,0.0224,0.0,-0.3791,0
app_0148,app_s000116,-1.7028,0.7517,0.0,-0.0168,0
app_0376,app_s000117,-0.2807,0.0074,0.0,2.7073,0
app_0413,app_s000118,1.8221,0.0534,0.0,-0.3303,0
app_0360,app_s000119,-1.676,0.561,0.0,-0.0432,0
app_0446,app_s000120,2.6036,0.1293,0.0,-0.379,0
app_0380,app_s000121,-0.4105,0.1001,0.0,-0.4675,0
app_0315,app_s000122,-0.1546,0.0365,0.0,0.6778,0
app_0363,app_s000123,-0.461,0.0183,0.0,-0.4699,0
app_0277,app_s000124,-0.2801,0.3606,0.0,-0.3025,0
app_0142,app_s000125,1.3777,0.0356,0.0,-0.3995,0
app_0277,app_s000126,1.0907,0.0992,0.0,0.5497,0
app_0446,app_s000127,0.4845,0.0965,0.0,0.1944,0
app_0145,app_s000128,-10.44,0.0035,1.0,7.676,1
app_0166,app_s000129,-0.2152,0.2471,0.0,-0.2917,0
app_0270,app_s000130,-0.542,0.0312,0.0,-0.3162,0
