user_id,session_id,amount_deviation,time_of_day_deviation,session_retry_deviation,sim_swap_risk,label
ussd_0391,ussd_s000000,-0.4619,1.4859,0.9844,0.0,0
ussd_0185,ussd_s000001,-0.1168,0.1665,-0.3021,0.0,0
ussd_0400,ussd_s000002,0.0089,1.3413,-0.3969,0.0,0
ussd_0353,ussd_s000003,-0.2967,0.9345,0.2066,0.0,0
ussd_0358,ussd_s000004,0.2169,0.2005,-0.1161,0.0,0
ussd_0418,ussd_s000005,-0.8801,2.0102,1.5491,0.0,0
ussd_0408,ussd_s000006,-0.322,1.2775,-0.5987,0.0,0
ussd_0310,ussd_s000007,-0.5435,1.1577,-0.0456,0.0,0
ussd_0079,ussd_s000008,-0.4197,0.6208,-0.463,0.0,0
ussd_0238,ussd_s000009,1.462,0.0798,-0.1474,0.0,0
ussd_0101,ussd_s000010,0.4099,0.1011,-0.3326,0.0,0
ussd_0179,ussd_s000011,-0.5313,1.3432,-0.5309,0.0,0
ussd_0263,ussd_s000012,4.039,2.2768,-0.1377,0.0,0
ussd_0213,ussd_s000013,0.0199,1.0445,-0.4046,0.0,0
ussd_0063,ussd_s000014,-0.8977,0.2948,-0.1743,0.0,0
ussd_0078,ussd_s000015,1.6041,0.0708,-0.6109,0.0,0
ussd_0400,ussd_s000016,1.9229,0.6567,-0.3969,0.0,0
ussd_0075,ussd_s000017,-0.3971,0.8798,-0.174,0.0,0
ussd_0333,ussd_s000018,-0.3827,2.1419,-0.3544,0.0,0
ussd_0239,ussd_s000019,-0.5516,0.7279,-0.1055,0.0,0
ussd_0152,ussd_s000020,-0.2783,1.8143,0.3175,0.0,0
ussd_0365,ussd_s000021,-0.8533,0.5098,1.7862,0.0,0
ussd_0062,ussd_s000022,-0.7931,0.038,-0.5987,0.0,0
ussd_0252,ussd_s000023,-0.4362,0.9011,-0.1521,0.0,0
ussd_0184,ussd_s000024,2.0853,1.6806,0.8751,0.8107,1
ussd_0412,ussd_s000025,-0.3908,0.3618,0.541,0.0,0
ussd_0061,ussd_s000026,1.9141,1.1086,-0.5219,0.8677,0
ussd_0000,ussd_s000027,-0.1043,1.3767,1.2123,0.3567,0
ussd_0092,ussd_s000028,10.1941,0.8522,4.7397,0.944,1
ussd_0137,ussd_s000029,-0.3164,0.5658,-0.3588,0.0,0
ussd_0277,ussd_s000030,-0.4092,0.204,0.1378,0.9062,0
ussd_0402,ussd_s000031,0.7272,1.0222,-0.1808,0.9386,0
ussd_0161,ussd_s000032,2.0181,1.3286,-0.2694,0.0,0
ussd_0232,ussd_s000033,0.4152,1.4873,-0.5171,0.0,0
ussd_0181,ussd_s000034,-0.6372,1.6122,-0.2,0.7457,0
ussd_0402,ussd_s000035,0.5257,1.2582,-0.1808,0.9386,0
ussd_0005,ussd_s000036,7.5479,1.0915,7.7495,0.7811,1
